"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"38",376.04,5495.87,2286.05,3181.89,2895.53,5704,882.35,8686.56,3620.68,1076.56,13157.2,10178.33,10649.1,15778.03,13439.9,13109.73,3732.19,12111.56,14920.64,8210.37,19821.6,5600.89,8723.5,7530.21,5487.19,4230.84,5007.07,6080.83,4168.28,5154.62,4870.93,1926.03,1035.08,685.57,0.99,3491.27,2637.41,0.34,4451.58,6268.84,2316.62,0.48,4484.89,996.14,1749.48,1898.25,0.18,2235.84,0.62,702.69
"39",0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.03,0.01,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.02,797.87,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.05,0.02
"40",4714.34,3368.36,2151.3,1061.32,2448.24,970.88,619.34,3477.83,8756.48,431.38,0.38,0.61,1087.85,3801.88,202.54,817.55,1273.03,666.4,1382.07,0.58,2455.77,1098.27,1.23,373.06,514.12,2316.38,606.57,107.19,1710.05,1250.89,0.98,1990.72,6402.84,3646.65,4128.99,1.46,3594.88,3787.03,5359.14,1640.23,4867.06,3989.89,2216.19,8401.77,2960.7,1703.5,982.48,3277.6,3525.72,1610.26
"41",736.64,0.1,0.14,0.18,0.12,0.12,0.14,0.1,0.08,0.11,0.11,0.15,0.08,0.12,0.18,521.72,0.12,375.85,0.2,0.09,303.1,0.1,0.18,0.13,1658.98,0.14,0.14,0.16,447.88,661.15,0.17,0.11,0.16,0.16,0.16,0.14,0.14,0.13,0.12,0.14,0.25,0.14,0.12,0.12,0.14,0.22,0.11,1274.35,0.32,0.13
"42",0.15,0.11,0.14,0.19,0.13,0.13,0.15,0.11,0.09,0.12,1297.29,0.16,0.09,0.12,886.85,0.11,0.13,0.13,0.22,0.1,0.17,0.11,0.19,0.14,0.13,0.15,0.15,1019.02,0.14,0.15,634.32,0.12,0.17,0.17,0.17,0.15,0.14,0.14,0.13,2350.71,0.27,0.15,0.13,2814.32,0.15,1157.39,0.12,3106.1,0.34,0.14
"43",0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.03,0.01,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,511.19,0.02,0.03,0.02,0.02,0.05,0.02
"44",0.12,0.09,0.12,0.16,0.11,0.11,0.12,0.09,0.07,0.1,0.09,0.13,0.07,0.1,0.15,0.09,0.11,0.11,0.18,0.08,0.14,0.09,1301.06,232.5,0.11,0.12,0.12,1293.22,0.11,0.12,0.14,1280.23,0.14,479.69,5590.89,0.12,0.12,0.11,4928.56,0.12,0.22,0.12,0.1,0.1,1561.33,2033.96,0.1,0.09,0.28,0.11
"45",0.07,407.89,0.04,0.1,0.01,0.06,0.14,0.01,82.19,1312.93,0.05,0.02,0.05,0.35,0.03,0.05,0.01,594.14,0.02,0.01,96.01,0.01,0.05,0.02,1783.85,0.09,0.04,0.01,0.1,0.02,0.26,0.3,496.22,0.03,0.09,0.02,0.07,0.02,581.2,0.02,0.05,0.24,0.01,0.1,0.09,1394.94,0.03,0.05,0.28,829.02
"46",638.88,0.08,0.14,0.06,0.04,0.04,0.05,0.03,0.02,0.04,0.03,173.4,0.02,0.03,0.17,0.03,359.96,0.04,0.06,0.03,0.06,130.85,0.06,0.04,113.2,0.06,0.04,0.05,0.06,261.38,0.05,0.03,0.09,0.06,0.1,0.05,0.04,0.08,0.04,0.04,0.14,0.09,0.04,0.04,0.05,0.08,1787.99,0.03,0.22,0.05
"47",0.46,0.34,0.45,0.59,0.4,0.41,0.46,2034.29,1105.9,0.37,0.35,0.48,374.77,832.96,1144.03,1008.11,1316.31,0.4,562.2,1295.91,105.94,872.09,838.6,0.42,0.4,1177.77,0.47,934.47,0.42,1633.32,0.54,0.35,0.53,0.54,0.51,0.47,0.44,0.43,0.41,0.47,0.83,0.47,1522.79,0.39,0.45,830.22,941.2,0.34,1.05,0.42
